title;doi;received month;received year;accepted month;accepted year;published month;published year;issued month;issued year;received - accepted;accepted - published;published - issued
Treatment of type 2 diabetes with the designer cytokine IC7Fc;https://doi.org/10.1038/s41586-019-1601-9;May;2018;August;2019;September;2019;October;2019;463;35;8
Multivalent anions as universal latent electron donors;https://doi.org/10.1038/s41586-019-1575-7;October;2018;July;2019;September;2019;September;2019;264;79;1
UNC93B1 recruits syntenin-1 to dampen TLR7 signalling and prevent autoimmunity;https://doi.org/10.1038/s41586-019-1612-6;July;2018;August;2019;September;2019;;;393;31;
Release from UNC93B1 reinforces the compartmentalized activation of select TLRs;https://doi.org/10.1038/s41586-019-1611-7;July;2018;September;2019;September;2019;;;413;11;
A new scenario logic for the Paris Agreement long-term temperature goal;https://doi.org/10.1038/s41586-019-1541-4;April;2018;June;2019;September;2019;September;2019;448;86;1
Cyclic GMP–AMP signalling protects bacteria against viral infection;https://doi.org/10.1038/s41586-019-1605-5;June;2019;September;2019;September;2019;;;78;7;
Synaptic proximity enables NMDAR signalling to promote brain metastasis;https://doi.org/10.1038/s41586-019-1576-6;June;2018;July;2019;September;2019;September;2019;393;75;8
Electrical and synaptic integration of glioma into neural circuits;https://doi.org/10.1038/s41586-019-1563-y;September;2018;August;2019;September;2019;September;2019;318;37;8
FPR1 is the plague receptor on host immune cells;https://doi.org/10.1038/s41586-019-1570-z;October;2018;August;2019;September;2019;;;306;35;
Glutamatergic synaptic input to glioma cells drives brain tumour progression;https://doi.org/10.1038/s41586-019-1564-x;September;2018;August;2019;September;2019;September;2019;315;40;8
Structural insights into the mechanism of human soluble guanylate cyclase;https://doi.org/10.1038/s41586-019-1584-6;May;2019;September;2019;September;2019;;;104;9;
Electrochemically reconfigurable architected materials;https://doi.org/10.1038/s41586-019-1538-z;November;2018;August;2019;September;2019;September;2019;255;40;1
A unified mechanism for intron and exon definition and back-splicing;https://doi.org/10.1038/s41586-019-1523-6;March;2019;August;2019;September;2019;September;2019;123;34;15
Magnitude of urban heat islands largely explained by climate and population;https://doi.org/10.1038/s41586-019-1512-9;February;2019;June;2019;September;2019;September;2019;132;72;1
Structural basis of assembly of the human T cell receptor–CD3 complex;https://doi.org/10.1038/s41586-019-1537-0;April;2019;August;2019;August;2019;September;2019;117;9;29
Modern microprocessor built from complementary carbon nanotube transistors;https://doi.org/10.1038/s41586-019-1493-8;January;2019;July;2019;August;2019;August;2019;168;56;1
A 3.8-million-year-old hominin cranium from Woranso-Mille, Ethiopia;https://doi.org/10.1038/s41586-019-1513-8;April;2019;August;2019;August;2019;September;2019;114;27;15
Metastatic-niche labelling reveals parenchymal cells with stem features;https://doi.org/10.1038/s41586-019-1487-6;July;2018;July;2019;August;2019;August;2019;365;47;1
Age and context of mid-Pliocene hominin cranium from Woranso-Mille, Ethiopia;https://doi.org/10.1038/s41586-019-1514-7;April;2019;July;2019;August;2019;September;2019;107;33;15
Temporal plasticity of apical progenitors in the developing mouse neocortex;https://doi.org/10.1038/s41586-019-1515-6;November;2018;July;2019;August;2019;September;2019;243;30;22
Identification of an ATP-sensitive potassium channel in mitochondria;https://doi.org/10.1038/s41586-019-1498-3;November;2017;July;2019;August;2019;August;2019;603;27;8
Conserved cell types with divergent features in human versus mouse cortex;https://doi.org/10.1038/s41586-019-1506-7;August;2018;July;2019;August;2019;September;2019;347;35;15
BCAA catabolism in brown fat controls energy homeostasis through SLC25A44;https://doi.org/10.1038/s41586-019-1503-x;June;2018;July;2019;August;2019;August;2019;409;30;8
Force-induced conformational changes in PIEZO1;https://doi.org/10.1038/s41586-019-1499-2;November;2018;July;2019;August;2019;September;2019;253;27;22
Mechanosensation of cyclical force by PIEZO1 is essential for innate immunity;https://doi.org/10.1038/s41586-019-1485-8;November;2018;July;2019;August;2019;September;2019;242;36;15
Structure and mechanogating of the mammalian tactile channel PIEZO2;https://doi.org/10.1038/s41586-019-1505-8;March;2019;July;2019;August;2019;September;2019;118;30;22
Genetic induction and mechanochemical propagation of a morphogenetic wave;https://doi.org/10.1038/s41586-019-1492-9;September;2018;July;2019;August;2019;August;2019;285;36;7
A national experiment reveals where a growth mindset improves achievement;https://doi.org/10.1038/s41586-019-1466-y;May;2018;July;2019;August;2019;September;2019;422;31;43
Opposing T cell responses in experimental autoimmune encephalomyelitis;https://doi.org/10.1038/s41586-019-1467-x;May;2018;July;2019;August;2019;August;2019;407;33;15
Collisions between cold molecules in a superconducting magnetic trap;https://doi.org/10.1038/s41586-019-1446-2;February;2019;June;2019;August;2019;August;2019;110;56;1
Weak average liquid-cloud-water response to anthropogenic aerosols;https://doi.org/10.1038/s41586-019-1423-9;February;2019;May;2019;July;2019;August;2019;108;68;1
Structure and mechanism of the cation–chloride cotransporter NKCC1;https://doi.org/10.1038/s41586-019-1438-2;January;2019;June;2019;July;2019;August;2019;157;37;22
Exome sequencing of Finnish isolates enhances rare-variant association power;https://doi.org/10.1038/s41586-019-1457-z;November;2018;July;2019;July;2019;August;2019;239;29;15
Plant cell-surface GIPC sphingolipids sense salt to trigger Ca2+ influx;https://doi.org/10.1038/s41586-019-1449-z;April;2018;July;2019;July;2019;August;2019;434;28;15
Human placenta has no microbiome but can contain potential pathogens;https://doi.org/10.1038/s41586-019-1451-5;January;2019;June;2019;July;2019;August;2019;163;33;15
Meningeal lymphatic vessels at the skull base drain cerebrospinal fluid;https://doi.org/10.1038/s41586-019-1419-5;November;2018;June;2019;July;2019;August;2019;228;30;8
Resolving medulloblastoma cellular architecture by single-cell genomics;https://doi.org/10.1038/s41586-019-1434-6;September;2018;June;2019;July;2019;August;2019;281;33;8
Soil nematode abundance and functional group composition at a global scale;https://doi.org/10.1038/s41586-019-1418-6;October;2018;June;2019;July;2019;August;2019;240;27;15
H+ transport is an integral function of the mitochondrial ADP/ATP carrier;https://doi.org/10.1038/s41586-019-1400-3;February;2018;May;2019;July;2019;July;2019;470;62;1
Global spatial risk assessment of sharks under the footprint of fisheries;https://doi.org/10.1038/s41586-019-1444-4;October;2018;July;2019;July;2019;August;2019;279;14;29
De novo design of bioactive protein switches;https://doi.org/10.1038/s41586-019-1432-8;October;2018;June;2019;July;2019;August;2019;250;35;15
Potential roles of gut microbiome and metabolites in modulating ALS in mice;https://doi.org/10.1038/s41586-019-1443-5;August;2018;July;2019;July;2019;August;2019;330;11;31
Incompatible and sterile insect techniques combined eliminate mosquitoes;https://doi.org/10.1038/s41586-019-1407-9;November;2018;June;2019;July;2019;August;2019;226;28;15
Activation of PDGF pathway links LMNA mutation to dilated cardiomyopathy;https://doi.org/10.1038/s41586-019-1406-x;July;2017;June;2019;July;2019;August;2019;706;28;29
Holistic prediction of enantioselectivity in asymmetric catalysis;https://doi.org/10.1038/s41586-019-1384-z;February;2019;May;2019;July;2019;July;2019;94;49;1
Neuronal vulnerability and multilineage diversity in multiple sclerosis;https://doi.org/10.1038/s41586-019-1404-z;October;2018;June;2019;July;2019;September;2019;229;35;50
A human liver cell atlas reveals heterogeneity and epithelial progenitors;https://doi.org/10.1038/s41586-019-1373-2;May;2018;June;2019;July;2019;August;2019;387;35;29
Comprehensive single-cell transcriptome lineages of a proto-vertebrate;https://doi.org/10.1038/s41586-019-1385-y;August;2018;June;2019;July;2019;July;2019;287;30;8
Apidima Cave fossils provide earliest evidence of Homo sapiens in Eurasia;https://doi.org/10.1038/s41586-019-1376-z;March;2018;June;2019;July;2019;July;2019;443;26;15
Neural signatures of sleep in zebrafish;https://doi.org/10.1038/s41586-019-1336-7;October;2017;May;2019;July;2019;July;2019;594;41;1
Modulation of cardiac ryanodine receptor 2 by calmodulin;https://doi.org/10.1038/s41586-019-1377-y;January;2019;June;2019;July;2019;August;2019;129;31;41
Single-cell analysis reveals T cell infiltration in old neurogenic niches;https://doi.org/10.1038/s41586-019-1362-5;June;2018;June;2019;July;2019;July;2019;363;29;8
Insect egg size and shape evolve with ecology but not developmental rate;https://doi.org/10.1038/s41586-019-1302-4;November;2018;May;2019;July;2019;July;2019;167;50;1
Isomerization of BRCA1–BARD1 promotes replication fork protection;https://doi.org/10.1038/s41586-019-1363-4;August;2018;June;2019;July;2019;July;2019;291;30;22
Whole-animal connectomes of both Caenorhabditis elegans sexes;https://doi.org/10.1038/s41586-019-1352-7;March;2018;May;2019;July;2019;July;2019;452;36;1
Hyperbolic lattices in circuit quantum electrodynamics;https://doi.org/10.1038/s41586-019-1348-3;March;2018;April;2019;July;2019;July;2019;407;68;1
Somatic mutations and cell identity linked by Genotyping of Transcriptomes;https://doi.org/10.1038/s41586-019-1367-0;October;2018;June;2019;July;2019;July;2019;224;28;15
High-dimensional geometry of population responses in visual cortex;https://doi.org/10.1038/s41586-019-1346-5;August;2018;May;2019;June;2019;July;2019;296;28;22
